Autor,Favs,RTs,Texto,Timestamp
Philip Li,0,4,"RT @SteephanieMarie: Tati: spilled the James tea and gained 4 million subs in 3 days

James Charles: palettes being returned, Merch supplie…",2019-05-17 12:43:50
rand connoisseur 🤤,0,55,RT @est_doll: The Tati and James Charles situation at this point 😂 https://t.co/HuBb40085i,2019-05-17 12:43:46
christian mingle the movie stan account ✝️🏳️‍🌈,2,0,apparently I have an interest in James Charles. .. yeah in him GOING TO JAIL,2019-05-17 12:43:45
Bernadette Moultrie,0,0,"""Tati Westbrook wants to 'stop the abuse' against James Charles: 'I don't think anyone deserves that'"" via FOX NEWS… https://t.co/xfNJ95EUeq",2019-05-17 12:43:38
Shane Haumpton,0,0,"""Tati Westbrook wants to 'stop the abuse' against James Charles: 'I don't think anyone deserves that'"" via FOX NEWS https://t.co/lRMIJ1WMqa",2019-05-17 12:43:37
Lex,0,0,I have never heard “and I oop” so much until the James Charles drama and now nobody is saying it anymore. Why did e… https://t.co/MchyIQgtHq,2019-05-17 12:43:32
CHRISSU | stan RAS + Shohei,0,6768,"RT @MatPatGT: In the wake of James Charles and ProJared, this needs to be said... https://t.co/TyVo4OlK1R",2019-05-17 12:43:30
emo girl,0,9403,RT @elijahdaniel: anyway congrats to james charles for hitting 15M subscribers this is such a huge milestone and step towards influencer re…,2019-05-17 12:43:26
Toto,0,4858,RT @thelightalex: JAMES CHARLES REALLY PAID PAPARAZZI TO TAKE PHOTOS OF HIM LOOKING SAD SO THAT PEOPLE WOULD FEEL SORRY FOR HIM LMAO 😭😭😭😭😭…,2019-05-17 12:43:26
jastine tayo,0,452,"RT @paupaula: Me: I’m so sick of all this James Charles drama.
Tati: Why I did it...
Me: https://t.co/2PFEo0uR7U",2019-05-17 12:43:24
Za Warudo Earth Society,0,382,"RT @ImTheRealThanos: Let’s see what happens....

Retweet for me or like for James Charles..... https://t.co/OCtkWOspmQ",2019-05-17 12:43:23
Caleb Wilson,0,34,RT @alyssajeter47: everyone on some james charles shit while jenna marbles out here smellin the bullshit and puttin out fires https://t.co/…,2019-05-17 12:43:22
Vali tatil yap,0,36,"RT @deannemistry: tati really played the reverse card on james charles’ whole career, can’t wait till she uses the +4 so he can get his 4 m…",2019-05-17 12:43:20
🥝,0,143,RT @ffemmefatale: so are y’all just gonna keep talking about james charles while dote is segregating teenage girls and lia marie johnson is…,2019-05-17 12:43:18
Shady.K,0,2424,"RT @joeyxzaragoza: james charles: im truly sorry, i’m still growing as a person and i have a long way to go 

the internet:  https://t.co/J…",2019-05-17 12:43:16
Ｌｏｕｉｓ,0,3574,"RT @wrongparker: who’s done more for the beauty community

rt for peter parker w red eyes from crying

like for james charles red eyes from…",2019-05-17 12:43:04
sunnye☀️,0,0,can everyone leave James Charles alone omg,2019-05-17 12:43:01
Luke Shaw,4,0,Certain girls looking and sounding like James Charles #WaddesdonMemories,2019-05-17 12:42:57
Vali tatil yap,0,50,"RT @juliakroesler: Tati: Completely drags James Charles in 40 minute video talking about how bad of a person he is

James: Loses 4 million…",2019-05-17 12:42:57
Katie,0,0,James Charles is canceled.,2019-05-17 12:42:43
ImmyLily,0,199206,"RT @WWYITMBailey: TATI WESTBROOK REALLY JUST TOLD JAMES CHARLES TO- 

now that i have your attention, our planet is expected to become unin…",2019-05-17 12:42:39
max,1,0,Wait.... James Charles is gay..?,2019-05-17 12:42:39
𝐄𝐋𝐋.,1,0,is speaking up. there was also a black woman shot by a policeman after yelling that she was pregnant but Twitter is… https://t.co/0ny8BbVfJe,2019-05-17 12:42:39
Scripturient Blogger,0,0,"@BloggersHut NEW BLOG POST: Why I’m NOT Unsubscribing from James Charles… I return all love ❤
https://t.co/0boB1gZech",2019-05-17 12:42:37
‎✵captain marvel✵,0,13927,"RT @hurdlermiller: Okay I’m done, this meme of Tati on James Charles wins https://t.co/djjxjDaVPj",2019-05-17 12:42:34
amyah.,0,199206,"RT @WWYITMBailey: TATI WESTBROOK REALLY JUST TOLD JAMES CHARLES TO- 

now that i have your attention, our planet is expected to become unin…",2019-05-17 12:42:32
lucy,0,55,RT @est_doll: The Tati and James Charles situation at this point 😂 https://t.co/HuBb40085i,2019-05-17 12:42:28
uoʇɓuıɟɟnɥ,0,0,i’m tired of seeing James Charles bitch face in every second meme that I see,2019-05-17 12:42:24
hannah | 162 days x,0,277,RT @offwhitevIone: wait so this whole James Charles vs. Tati thing was a publicity stunt? 💀 https://t.co/Iv60hTxjS3,2019-05-17 12:42:21
∞ Rani ∞,0,0,My Thoughts On The James Charles Drama https://t.co/ZPryblpufZ via @YouTube,2019-05-17 12:42:18
🎥Jawa🖌,0,7546,RT @lileyrenard: straight guys talking to james charles https://t.co/22NiSTF0ey,2019-05-17 12:42:16
cheryl,0,14546,RT @starkandspidey: james charles who?? stan bretman rock https://t.co/MmuDju87Wn,2019-05-17 12:42:16
Merliah Merissa,0,20853,RT @insecurechambie: james charles joining jordyn woods and pete davidson in the homeless shelter  https://t.co/5SNz4vuHe2,2019-05-17 12:42:12
Samantha Miller,0,183,"RT @velvetpromoter: tati : releases “why i did it ...”
james charles : https://t.co/1edy7tUeEN",2019-05-17 12:42:00
Sayward ❁,0,0,If I see one more fucking beauty youtuber come out with a video about this James Charles shit.... REAL THINGS ARE H… https://t.co/YcUUb4DEbF,2019-05-17 12:41:48
Scripturient Blogger,0,0,"@theclique_uk NEW BLOG POST: Why I’m NOT Unsubscribing from James Charles… I return all love ❤
https://t.co/0boB1gZech",2019-05-17 12:41:48
𝖘𝖆𝖇𝖊𝖑 ❥,0,452,"RT @paupaula: Me: I’m so sick of all this James Charles drama.
Tati: Why I did it...
Me: https://t.co/2PFEo0uR7U",2019-05-17 12:41:47
愛莉,0,6,RT @wbkchloe: am sorry but @callummarkie is legit trying to show yous how much of a bad person jeffree star is as well as james charles but…,2019-05-17 12:41:45
al,0,0,i was watching a meme of james charles not being able to sing and i didnt realise my headphones were disconnected a… https://t.co/HGuWqaileR,2019-05-17 12:41:43
Samantha Miller,0,452,"RT @paupaula: Me: I’m so sick of all this James Charles drama.
Tati: Why I did it...
Me: https://t.co/2PFEo0uR7U",2019-05-17 12:41:42
krystelle ☆,0,14546,RT @starkandspidey: james charles who?? stan bretman rock https://t.co/MmuDju87Wn,2019-05-17 12:41:40
Liam Brown,1,1,"I get what James Charles done wasn’t right, but everyone was tweeting about how important mental heath is 2 weeks a… https://t.co/um1q1nvpNC",2019-05-17 12:41:36
